geometry_id,run_id,gun_particle,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,gun_energy_GeV,muon_threshold_GeV,detection_efficiency,energy_resolution
1144444a,runda8d99c24e,kaon0L,10,3,3,4,3.8869,3.9481,3.9391,0.5639,0.455,0.5613,0.05,1.497611,0.02,0.4043333333333333,0.41091800831325853
1144444a,run2df5e88775,neutron,10,3,3,4,3.8869,3.9481,3.9391,0.5639,0.455,0.5613,0.05,1.9395654205000001,0.02,0.223,0.4200034003684043
04e3fdfb,run3f5ac4f847,neutron,10,3,3,4,4.0,4.0,4.0,0.4,0.4,0.4,0.05,1.9395654205000001,0.02,0.119,0.40745382473587916
04e3fdfb,run12ad085a12,kaon0L,10,3,3,4,4.0,4.0,4.0,0.4,0.4,0.4,0.05,1.497611,0.02,0.23533333333333334,0.3690681380303641
c2bbd5d3,run0951ceeacf,neutron,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.9395654205000001,0.02,0.2836666666666667,0.47722874817605876
c2bbd5d3,run0034159be6,kaon0L,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.497611,0.02,0.4786666666666667,0.4340651049960376
c2bbd5d3,run830fd5c8d6,neutron,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.9395654205000001,0.02,0.26966666666666667,0.3889448183030313
c2bbd5d3,run243be3d1de,kaon0L,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.497611,0.02,0.483,0.41783940503875683
c2bbd5d3,run84388a7d85,kaon0L,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.497611,0.02,0.47333333333333333,0.4077143416750458
c2bbd5d3,runb63be0ede8,kaon0L,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.497611,0.02,0.49766666666666665,0.42981625638791615
c2bbd5d3,rune5fc0b044a,neutron,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.9395654205000001,0.02,0.2793333333333333,0.4673799135294132
c2bbd5d3,run0086cc5a94,kaon0L,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.497611,0.02,0.486,0.3865992313352674
c2bbd5d3,run60e9e487aa,kaon0L,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.497611,0.02,0.49166666666666664,0.41802747761922415
c2bbd5d3,run12be03422e,neutron,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.9395654205000001,0.02,0.29233333333333333,0.4380448554152409
c2bbd5d3,rund362c7ce2b,neutron,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.9395654205000001,0.02,0.2856666666666667,0.4927708552342044
c2bbd5d3,run4f3c997eb5,neutron,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.9395654205000001,0.02,0.296,0.3963819336388554
c2bbd5d3,run73a163faea,kaon0L,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.497611,0.02,0.507,0.3902979772041701
c2bbd5d3,runa7870a6dd3,neutron,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.9395654205000001,0.02,0.284,0.41491458006472015
